,sample,Area.20.,Perimeter.20.,Ix.20.,Iy.20.,Ixy.20.,Imin.20.,Imax.20.,Theta.20.,Area.80.,Perimeter.80.,Ix.80.,Iy.80.,Ixy.80.,Imin.80.,Imax.80.,Theta.80.
191,ID_113-Humerus_L,342.512038879371,67.0125373509734,8206.55500342405,10864.3818820546,-1068.26589343948,7830.41625929191,11240.5206261867,70.602722871698,280.537141252769,64.9596957327996,5491.01230386317,8546.15473972157,1522.40290303982,4861.92304201588,9175.24400156886,-67.5485450589374
192,ID_113-Humerus_R,367.8550573305,69.5843792669567,9779.44427969205,12231.0168050211,1460.2623035709,9098.68446188349,12911.7766228296,-65.005533189118,303.48252540311,67.5306434746984,6498.04038562942,10003.9585120361,-2067.77483403091,5540.17701984219,10961.8218778233,65.1448294281435
193,ID_114-Humerus_L,357.370084142781,68.9218599374324,9990.60847560246,10610.9537722619,190.998206362186,9936.51832511044,10665.0439227539,-74.1880284267083,267.261900085393,65.9192815675783,4771.30370796111,8535.94051254161,1550.04626827268,4215.22796627328,9092.01625422944,-70.2646615584354
194,ID_114-Humerus_R,360.09517171226,69.3342310133092,10048.0283430362,10863.2083733735,-244.235018952165,9980.4548442986,10930.7818721111,74.5346131289133,276.577070979936,67.0977931224625,5329.74188537287,9025.2462946926,-1813.01872437959,4588.8216301073,9766.16654995817,67.7718036927496
195,ID_117-Humerus_L,308.887638488528,64.7299401098441,7280.2065549638,8186.02894711014,395.261924476052,7131.98503651468,8334.25046555926,-69.4441712358662,224.958487883457,59.6830208931885,3849.46008498206,5659.79143428001,1631.03116350848,2889.26049917973,6619.99102008235,-59.5143770166845
196,ID_117-Humerus_R,326.179854799904,66.2054966593989,8063.22171403318,9207.64236649585,-140.276345733107,8046.27831616697,9224.58576436206,83.1128439173085,230.471924944464,58.7683769363224,3892.97120118696,5686.61389594623,-1477.54326586945,3061.37632796695,6518.20876916624,60.6282035750687
197,ID_118-Humerus_L,312.368775525668,64.3589875372253,6329.6884861988,9733.33419498915,253.807342343774,6310.86634677063,9752.15633441732,-85.7587567437249,203.500077404685,56.414802548508,3019.40053321802,4321.65061491921,737.515564711745,2686.7100288495,4654.34111928773,-65.7200429300151
198,ID_118-Humerus_R,324.133536714513,64.9453826181624,6786.49450242325,10390.53918887,164.630813543441,6778.98988253051,10398.0438087628,-87.390005063871,212.824649647226,57.4070934926722,3134.5480025485,4860.83731265132,-689.554426474574,2892.92842817605,5102.45688702377,70.6895610780968
199,ID_121-Humerus_L,267.365613550729,59.5578319033102,4960.16950058665,6723.21477477608,156.279495981881,4946.42377535934,6736.96050000339,-84.9734259306733,224.441298250151,58.56654957497,2892.10641928675,6288.85275088671,423.261405603932,2840.15914934268,6340.80002083079,-83.0030266724208
200,ID_121-Humerus_R,265.670236593614,59.463427147897,4724.01220624186,6892.53850892529,189.179475762544,4707.63215681084,6908.91855835631,-85.0514035037208,218.944572883836,58.5600242003992,2811.22215255532,5963.13157865919,-463.43819876156,2744.49362722502,6029.86010398949,81.8065330690234
