,sample,Area.20.,Perimeter.20.,Ix.20.,Iy.20.,Ixy.20.,Imin.20.,Imax.20.,Theta.20.,Area.80.,Perimeter.80.,Ix.80.,Iy.80.,Ixy.80.,Imin.80.,Imax.80.,Theta.80.
283,ID_159-Tibia_L,690.299383026417,97.5735376157226,32048.9663106188,48846.3639182125,-8117.69879526255,28767.1182381985,52128.2119906327,67.9873508669907,352.773860981884,67.6838647758671,8726.62901622546,11470.4333695971,-324.281655962222,8688.82406914801,11508.2383166745,83.3504405534796
284,ID_159-Tibia_R,686.050851362667,97.1832445532106,33224.9249657238,47033.7656610477,10199.3986212942,27812.7405631607,52445.9500636108,-62.0478974171408,361.300306866417,68.6748191217368,9233.99629913972,12010.2564319122,653.71373431399,9087.77088923104,12156.4818418209,-77.3913957659596
285,ID_160-Tibia_L,954.370431069828,115.991907963836,87428.0776412986,73735.4950993861,-31419.5314136264,48425.0039066283,112738.568834056,38.8537206125483,611.766201416043,92.2067461580427,29321.9538960415,32853.5712672569,-1839.55716138009,28537.8506490225,33637.674514276,66.9140834245365
286,ID_160-Tibia_R,948.717813359743,115.264299531215,84556.4515399409,74465.8027420597,32444.7303111846,46676.4530409572,112345.801241044,-40.5805011228984,504.795627928537,82.3892604552479,18322.8548995342,23851.4146239629,2569.66170714168,17312.9587661444,24861.3107573526,-68.5448047113619
287,ID_162-Tibia_L,713.661863270777,101.123408590807,48059.697848991,42016.213699549,-16352.7010942833,28408.4110347074,61667.5005138326,39.7653327310603,478.323940067197,80.3014093711249,17080.3947610209,20370.5841236689,1698.7507899608,16360.729252196,21090.2496324937,-67.0403488615987
288,ID_162-Tibia_R,713.229927738336,99.9531353727875,43932.1440631884,43840.3843493395,13909.6742654771,29976.5142756236,57796.0141369042,-44.9055077572905,473.757227019211,79.4368078407508,17143.1626082726,19446.0688682737,-2137.81235995632,15866.4299964136,20722.8014801327,59.1537372912768
289,ID_163-Tibia_L,921.55046817619,114.800205153911,80874.6018507796,69855.6364560225,-28387.5324944631,46447.8855250453,104282.352781757,39.508260906117,516.113406629684,81.5449747126772,18875.190233123,24091.5029977793,406.591225790903,18843.6882777928,24123.0049531095,-85.5696770135964
290,ID_163-Tibia_R,965.704793031489,116.914976588051,86047.8590481392,76883.8272908256,28507.1777578448,52592.7752128273,110338.911126137,-40.4344168814084,504.628306237879,80.6669092390353,18472.7078115261,22576.8915214292,-800.542024708977,18322.0857689223,22727.5135640331,79.3443673458636
291,ID_165-Tibia_L,1031.67428632358,122.161183374781,104010.117098408,88196.2640587043,-41909.3905941067,53454.4331879858,138751.947969127,39.6578775762943,512.650635660066,82.7439387568568,20994.6439642092,21945.847327407,2206.56098862132,19213.0109756763,23727.4803159399,-51.0817189248946
292,ID_165-Tibia_R,1044.67619929292,121.601288001605,108528.756520581,85561.7783869914,38836.5244859947,56546.5495074307,137543.985400142,-36.763845466396,514.969178192804,82.9500679378567,21819.1719071461,21376.1898621571,-1196.89066300251,20380.4686877737,22814.8930815294,39.7578577108388
293,ID_166-Tibia_L,774.147066106541,104.633876650106,59882.1421286837,45401.3157194604,-18499.8466873633,32775.4783762343,72507.9794719097,34.3128856873194,456.949921848605,77.7461889628657,16011.8273226825,17908.0305700394,1223.2386840626,15412.2824857606,18507.5754069614,-63.8891829958544
294,ID_166-Tibia_R,769.088287957349,104.33403167035,61064.4649089564,42726.8586199931,17370.8906621265,32253.4930069823,71537.8305219671,-31.0868772559589,470.438642562316,79.3348448800654,16361.5556339262,19632.1359801221,-911.325246364111,16124.7647043763,19868.9269096721,75.4348316908292
295,ID_167-Tibia_L,628.125731276744,94.9887858606065,42185.8789002563,27778.6688888651,-10934.5711804809,21888.1235983756,48076.4241907458,28.3117193537645,359.717343107818,68.033638644279,10089.8414036961,10691.4288782755,-288.731651809461,9973.69049340138,10807.5797885702,68.0860732936397
296,ID_167-Tibia_R,617.539676407799,93.7480978654237,41298.2005355958,25890.1159197276,9315.00309154529,21506.0835059396,45682.2329493838,-25.2036492511735,351.11857925317,67.1014656750167,8927.67044413953,10923.2869855821,530.035478855979,8795.62963026328,11055.3277994584,-76.0113860917056
297,ID_168-Tibia_L,620.264213350623,97.6370485129643,41749.0679848233,29481.4018980879,-13845.2338447258,20472.1042209258,50758.3656619853,33.052646427982,414.427350933987,73.4573829380219,13406.5206186255,14290.9369757873,-112.353642756062,13392.4707405713,14304.9868538414,82.8721353234354
298,ID_168-Tibia_R,636.188823920176,100.760394990913,41819.7932903116,35090.4772363189,17104.1166297958,21023.218291155,55887.0522354755,-39.4355443988303,427.2331332868,74.862498095873,14252.5607030821,15307.4875917419,-74.7306893208203,14247.2931073639,15312.7551874601,85.9680201099369
299,ID_169-Tibia_L,558.487601841425,89.7975955127896,30456.04618026,25189.4685086797,-10960.9333150644,16549.9462828941,39095.5684060457,38.2455481309589,326.84186451544,66.6684156596507,6977.57276301774,10970.0549951797,-956.999222629772,6760.03292659998,11187.5948315975,77.1934560233358
300,ID_169-Tibia_R,570.430039650162,91.1032533458911,29707.8411146497,29032.4080099244,12646.0763540386,16719.5396105185,42020.7095140557,-44.2351329114091,337.739205474371,67.7579911136986,7788.82398810549,11233.2642722449,899.154572598862,7568.23143637889,11453.8568239715,-76.2156857961944
301,ID_170-Tibia_L,656.297714461866,95.5874488044131,40555.5559338863,33935.1551568242,-11961.3358002531,24834.4337126045,49656.2773781059,37.2655071551575,382.728612839062,70.9229656724255,11529.3467165126,12273.1840145553,851.975295741013,10971.6496459794,12830.8810850885,-56.7915223580568
302,ID_170-Tibia_R,654.940611682838,94.8723150937003,38232.0556893157,34730.4584264754,10522.498226338,25814.0988247451,47148.415291046,-40.2766565103168,356.96408882303,68.668703427074,10074.438037151,10667.2327504967,-684.593030837543,9624.83337578768,11116.83741186,56.7051983485792
303,ID_171-Tibia_L,810.325055624895,110.032263226029,67435.6960793155,51787.738389266,-24446.699959664,33943.5310131096,85279.9034554718,36.1265641471963,494.354916204385,81.1546659658822,20129.1024756102,19752.5075576457,-817.045039768227,19102.3430138699,20779.267019386,38.511061143745
304,ID_171-Tibia_R,825.373789277062,109.674304343488,69732.9011010049,52301.4097099842,23811.8939654126,35660.2920890499,86374.0187219393,-34.9480584838302,497.088954238048,81.9596129062795,20337.4699250941,20156.5510533779,1016.84745852152,19226.1472939755,21267.8736844965,-42.4581556958394
305,ID_172-Tibia_L,1401.25725978668,137.501321487247,156252.29705219,174209.538537404,-44384.3916706808,119947.478720275,210514.356869319,50.7180821589567,862.801493861163,105.400357438624,56388.5237916564,63210.1115251009,1167.66926262861,56194.1871048262,63404.4482119311,-80.5508006019564
306,ID_172-Tibia_R,1426.26060466784,138.701071378588,161137.956410538,181895.204864262,50421.2963759865,120038.206837547,222994.954437254,-50.8156009950908,830.021180079507,103.559067974193,51701.1325505768,59207.2714979937,1186.53505964374,51518.03689535,59390.3671532205,-81.2278101513838
307,ID_173-Tibia_L,737.184001707882,103.715269245407,51411.2966277211,47126.8010584138,-21008.3245771802,28151.7827531824,70386.3149329524,42.0887977907786,480.454482372919,79.1152046608659,17172.6793123279,20166.3194495669,-318.548971126919,17139.1583193444,20199.8404425504,83.9928579596909
308,ID_173-Tibia_R,776.568666883442,105.740400312162,55245.8621732247,52105.0323915453,21079.5896003095,32537.4412116401,74813.45335313,-42.869687332666,507.10659952934,81.1440388726141,18752.7373588548,22754.0278720082,1097.32868208879,18471.5606067732,23035.2046240898,-75.6278936828175
309,ID_174-Tibia_L,796.00812694406,104.606576541932,56981.7021353829,52357.9897116774,-19552.5255672037,34981.1198296347,74358.5720174256,41.6283778584252,442.50047741244,76.4803157833298,13771.0240570774,18121.3244255483,615.224562057246,13685.6920835116,18206.6563991141,-82.103425428056
310,ID_174-Tibia_R,855.603078945503,108.575450246826,70874.1849303253,55750.3206197468,21559.4510443836,40465.092179978,86159.4133700941,-35.3358938375373,459.954282066956,78.3528411191484,15229.0483020914,19367.5197922536,-564.496602034463,15153.431375675,19443.1367186699,82.3703843014509
311,ID_175-Tibia_L,1075.42468085268,123.643625084771,107359.899425246,95196.6722445744,-35150.2059429,65605.8454685652,136950.726201255,40.091992375652,617.614892616354,90.960272694853,25917.9073460042,37027.1369127415,-562.625640273946,25889.4859479827,37055.5583107629,87.1081248362942
312,ID_175-Tibia_R,1096.59957842755,124.543831847465,113206.085253027,96137.607592521,34276.1145636284,69349.2578711011,139994.434974447,-38.0092516050436,629.252986659168,91.7255744338687,26524.8513784446,38825.5579881349,516.483242214615,26503.2033292792,38847.2060373003,-87.5998906325382
313,ID_176-Tibia_L,675.321136518516,98.221927743917,45440.8879074923,35434.1393527589,-15257.1249272292,24380.9381794109,56494.0890808403,35.9218868479125,423.678146504841,74.4752818169639,13941.1421288988,15008.5205893295,-530.579351445726,13722.276615173,15227.3861030554,67.5837112098525
314,ID_176-Tibia_R,693.894149870309,98.909627947263,48597.7166904732,35097.9879500728,12946.1871195957,27247.7006103871,56448.0040301589,-31.2317148496017,418.92813961341,74.1871043740704,13481.4221438403,14904.7118685735,1150.13128591737,12840.5728712922,15545.5611411216,-60.8735955682932
